Month,KPI Category,KPI Name,Target,Actual,Prior Month,% vs Target,% MoM Change,Status,Owner,Notes
2026-01,Awareness,Impressions,500000,482000,465000,-3.6%,3.7%,At Risk,,
2026-01,Awareness,Reach,320000,315000,298000,-1.6%,5.7%,On Track,,
2026-01,Awareness,Brand Search Volume,1200,1150,1080,-4.2%,6.5%,At Risk,,
2026-01,Acquisition,Website Sessions,85000,82300,79000,-3.2%,4.2%,At Risk,,
2026-01,Acquisition,New Users,42000,40100,38500,-4.5%,4.2%,At Risk,,
2026-01,Acquisition,Cost Per Visit ($),1.25,1.18,1.22,5.6%,-3.3%,On Track,,
2026-01,Engagement,Average Session Duration (min),2.5,2.7,2.4,8.0%,12.5%,On Track,,
2026-01,Engagement,Bounce Rate (%),45,42,46,6.7%,-8.7%,On Track,,
2026-01,Engagement,Email Open Rate (%),22,24.5,21.8,11.4%,12.4%,On Track,,
2026-01,Engagement,Email Click Rate (%),3.5,3.8,3.2,8.6%,18.8%,On Track,,
2026-01,Conversion,Leads Generated,2500,2380,2210,-4.8%,7.7%,At Risk,,
2026-01,Conversion,MQLs,800,765,710,-4.4%,7.7%,At Risk,,
2026-01,Conversion,SQLs,200,188,175,-6.0%,7.4%,At Risk,,
2026-01,Conversion,Lead Conversion Rate (%),2.9,2.89,2.8,-0.3%,3.2%,On Track,,
2026-01,Conversion,Cost Per Lead ($),45,47.2,44.5,-4.9%,6.1%,At Risk,,
2026-01,Revenue,Marketing-Attributed Revenue ($),125000,118500,112000,-5.2%,5.8%,At Risk,,
2026-01,Revenue,ROAS,4.0,3.85,3.92,-3.8%,-1.8%,At Risk,,
2026-01,Revenue,Customer Acquisition Cost ($),180,175,182,2.8%,-3.8%,On Track,,
2026-01,Revenue,Pipeline Value ($),450000,438000,420000,-2.7%,4.3%,At Risk,,
2026-02,Awareness,Impressions,520000,,482000,,,,
2026-02,Acquisition,Website Sessions,88000,,82300,,,,
2026-02,Conversion,Leads Generated,2600,,2380,,,,
2026-02,Revenue,Marketing-Attributed Revenue ($),130000,,118500,,,,
